contig	start	end	comparison	fraction_GC	SubstitutionsPerSite	type	mu1	mu2	m3
chr5:44812670-52962051	490000	500000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.34	0.06464825056	Macaque_h1	2.54520671496063e-08	3.6645802702111e-08	3.74186001989173e-08
chr5:44812670-52962051	910000	920000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.328	0.0651045524	Macaque_h1	2.56317135433071e-08	3.69044569898358e-08	3.42709937967343e-08
chr5:44812670-52962051	7120000	7130000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.348	0.05567058334	Macaque_h1	2.1917552496063e-08	3.15568201106333e-08	3.22197413202744e-08
chr5:44812670-52962051	1000000	1010000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.337	0.0652232663	Macaque_h1	2.56784512992126e-08	3.69717498573104e-08	3.5458121154025e-08
chr5:44812670-52962051	590000	600000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.396	0.0668055484	Macaque_h1	2.6301397007874e-08	3.78686650430023e-08	2.77965566159719e-08
chr5:44812670-52962051	6560000	6570000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.34325	0.0613418716	Macaque_h1	2.41503431496063e-08	3.47715847615324e-08	2.66403255398337e-08
chr5:44812670-52962051	4340000	4350000	ag07107_mmu_cen5_h1v1-chm1_cen5v2	0.392	0.03915555562	Macaque_h1	1.54155730787402e-08	2.21952914968726e-08	2.03639256133552e-08
chr5:44812670-52962051	40000	50000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1	0.369	0.07290496803	Macaque_h1	2.87027433188976e-08	4.1326115576036e-08	3.97914709780549e-08
chr5:44812670-52962051	1080000	1090000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.348	0.05886590459	Macaque_h1	2.3175552988189e-08	3.33680850881548e-08	2.5207457770209e-08
chr5:44812670-52962051	3500000	3510000	ag07107_mmu_cen5_h1v1-chm1_cen5v2	0.392	0.0422578629	Macaque_h1	1.66369538976378e-08	2.39538315891321e-08	2.20509826647483e-08
chr5:44812670-52962051	1310000	1320000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.348	0.08296876977	Macaque_h1	3.2664869988189e-08	4.70307725435887e-08	3.93275107433224e-08
chr5:44812670-52962051	6670000	6680000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.427	0.05665420173	Macaque_h1	2.23048038307087e-08	3.21143833105942e-08	3.25605739784544e-08
chr5:44812670-52962051	7400000	7410000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.39125	0.05082028434	Macaque_h1	2.00079859606299e-08	2.88074324835809e-08	2.23034526802455e-08
chr5:44812670-52962051	7550000	7560000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.344	0.08971081147	Macaque_h1	3.53192171141732e-08	5.08524928191947e-08	4.95939909592955e-08
chr5:44812670-52962051	7540000	7550000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.31525	0.07225014272	Macaque_h1	2.84449380787402e-08	4.09549284378421e-08	3.65050228520659e-08
chr5:44812670-52962051	6820000	6830000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.3595	0.06627989161	Macaque_h1	2.6094445515748e-08	3.75706969642299e-08	2.76180158674075e-08
chr5:44812670-52962051	4020000	4030000	ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1	0.392	0.07200819703	Macaque_h1	2.83496838700787e-08	4.08177817410086e-08	4.32928008117594e-08
chr5:44812670-52962051	60000	70000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.339	0.06026885378	Macaque_h1	2.37278951889764e-08	3.41633455750586e-08	3.30710096587573e-08
chr5:44812670-52962051	6610000	6620000	ag07107_mmu_cen5_h1v1-chm1_cen5v2,ag07107_mmu_cen5_h1v1-chr5,ag07107_mmu_cen5_h1v1-hg00733_cen5_h1v1,ag07107_mmu_cen5_h1v1-hg00733_cen5_h2v1	0.387	0.1684065028	Macaque_h1	6.63017727559055e-08	9.5461074691165e-08	9.48118676506316e-08
