contig	start	end	comparison	fraction_GC	SubstitutionsPerSite	type	mu1
chr21:8962852-13306301	2860000	2870000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3763333333	0.0007677984006	chm1	1.9194960015e-08
chr21:8962852-13306301	4240000	4250000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.369	0.0009343852461	chm1	2.33596311525e-08
chr21:8962852-13306301	3020000	3030000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.418	0.001379403046	chm1	3.448507615e-08
chr21:8962852-13306301	1080000	1090000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.413	0.004143459652	chm1	1.035864913e-07
chr21:8962852-13306301	3340000	3350000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3693333333	0.001201492353	chm1	3.0037308825e-08
chr21:8962852-13306301	4040000	4050000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.339	0.00107122725	chm1	2.678068125e-08
chr21:8962852-13306301	4090000	4100000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.366	0.004920553396	chm1	1.230138349e-07
chr21:8962852-13306301	3880000	3890000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3663333333	0.000300211887	chm1	7.505297175e-09
chr21:8962852-13306301	1110000	1120000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.369	0.03720465784	chm1	9.30116446e-07
chr21:8962852-13306301	2470000	2480000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.326	0	chm1	0
chr21:8962852-13306301	1730000	1740000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.424	0.02479446569	chm1	6.1986164225e-07
chr21:8962852-13306301	840000	850000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.383	0.00273976207	chm1	6.849405175e-08
chr21:8962852-13306301	2980000	2990000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3733333333	0.001505777158	chm1	3.764442895e-08
chr21:8962852-13306301	1420000	1430000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.42	0.00633326083	chm1	1.5833152075e-07
chr21:8962852-13306301	3590000	3600000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.348	0.001869070195	chm1	4.6726754875e-08
chr21:8962852-13306301	3240000	3250000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.456	0.001000900204	chm1	2.50225051e-08
chr21:8962852-13306301	4180000	4190000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3593333333	0.0006343146595	chm1	1.58578664875e-08
chr21:8962852-13306301	3680000	3690000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.33	0.002606513649	chm1	6.5162841225e-08
chr21:8962852-13306301	220000	230000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4266666667	0.004158585532	chm1	1.039646383e-07
chr21:8962852-13306301	850000	860000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.456	0.0005336152106	chm1	1.3340380265e-08
chr21:8962852-13306301	2850000	2860000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.378	0.0008011986717	chm1	2.00299667925e-08
chr21:8962852-13306301	1010000	1020000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.381	0.003913767781	chm1	9.7844194525e-08
chr21:8962852-13306301	4110000	4120000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.361	0.003311726089	chm1	8.2793152225e-08
chr21:8962852-13306301	2460000	2470000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.356	0	chm1	0
chr21:8962852-13306301	1980000	1990000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.2246666667	0.02242385343	chm1	5.6059633575e-07
chr21:8962852-13306301	2910000	2920000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.377	0.000834714715	chm1	2.0867867875e-08
chr21:8962852-13306301	1190000	1200000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.369	0.005660518528	chm1	1.415129632e-07
chr21:8962852-13306301	1070000	1080000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.363	0.01307453342	chm1	3.268633355e-07
chr21:8962852-13306301	3560000	3570000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.356	0.002136724028	chm1	5.34181007e-08
chr21:8962852-13306301	2830000	2840000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.386	0.0003671242337	chm1	9.1781058425e-09
chr21:8962852-13306301	4080000	4090000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.376	0.001067445081	chm1	2.6686127025e-08
chr21:8962852-13306301	4120000	4130000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.364	0.0007672994695	chm1	1.91824867375e-08
chr21:8962852-13306301	4140000	4150000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.355	0.003012345338	chm1	7.530863345e-08
chr21:8962852-13306301	2360000	2370000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.37	0.0003000709029	chm1	7.5017725725e-09
chr21:8962852-13306301	2740000	2750000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4576666667	0.001015341122	chm1	2.538352805e-08
chr21:8962852-13306301	260000	270000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.427	0.004488726877	chm1	1.12218171925e-07
chr21:8962852-13306301	2620000	2630000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.355	0.0007686951245	chm1	1.92173781125e-08
chr21:8962852-13306301	4070000	4080000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4	0.001770445378	chm1	4.426113445e-08
chr21:8962852-13306301	2660000	2670000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.345	0.0006681755117	chm1	1.67043877925e-08
chr21:8962852-13306301	1960000	1970000	chm1_cen21v5-chm1_cen21v5	0.226	0.04154503893	chm1	1.03862597325e-06
chr21:8962852-13306301	110000	120000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3456666667	0.001168794222	chm1	2.921985555e-08
chr21:8962852-13306301	4300000	4310000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h2v1	0.381	0.0003002527275	chm1	7.5063181875e-09
chr21:8962852-13306301	3320000	3330000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.343	0.001671237581	chm1	4.1780939525e-08
chr21:8962852-13306301	1210000	1220000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.397	0.00505396409	chm1	1.2634910225e-07
chr21:8962852-13306301	4020000	4030000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.371	0.0005004977553	chm1	1.25124438825e-08
chr21:8962852-13306301	3820000	3830000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.35	0.001803180915	chm1	4.5079522875e-08
chr21:8962852-13306301	3630000	3640000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.38	0.0059857896	chm1	1.4964474e-07
chr21:8962852-13306301	2530000	2540000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.378	0.0001333769907	chm1	3.3344247675e-09
chr21:8962852-13306301	3420000	3430000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.355	0.0004002873824	chm1	1.000718456e-08
chr21:8962852-13306301	2440000	2450000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.359	0	chm1	0
chr21:8962852-13306301	2380000	2390000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.398	3.33804364e-05	chm1	8.3451091e-10
chr21:8962852-13306301	1690000	1700000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.372	0.008002672715	chm1	2.00066817875e-07
chr21:8962852-13306301	1830000	1840000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.382	0.000233382029	chm1	5.834550725e-09
chr21:8962852-13306301	4130000	4140000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.374	0.00137012139	chm1	3.425303475e-08
chr21:8962852-13306301	230000	240000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.423	0.002360345591	chm1	5.9008639775e-08
chr21:8962852-13306301	2690000	2700000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.418	0.0005673548122	chm1	1.4183870305e-08
chr21:8962852-13306301	3300000	3310000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.36	0.002673559981	chm1	6.6838999525e-08
chr21:8962852-13306301	3830000	3840000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.375	0.001970154774	chm1	4.925386935e-08
chr21:8962852-13306301	3170000	3180000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4603333333	0.001168581214	chm1	2.921453035e-08
chr21:8962852-13306301	400000	410000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4233333333	0.0007698575816	chm1	1.924643954e-08
chr21:8962852-13306301	760000	770000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.354	0.0001999854932	chm1	4.99963733e-09
chr21:8962852-13306301	530000	540000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.389	0.0007340912758	chm1	1.8352281895e-08
chr21:8962852-13306301	3330000	3340000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.367	0.001630746795	chm1	4.0768669875e-08
chr21:8962852-13306301	4100000	4110000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.354	0.006268630652	chm1	1.567157663e-07
chr21:8962852-13306301	3960000	3970000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.364	0.001068533558	chm1	2.671333895e-08
chr21:8962852-13306301	3220000	3230000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4593333333	0.0009012583549	chm1	2.25314588725e-08
chr21:8962852-13306301	1380000	1390000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.364	0.006165514944	chm1	1.541378736e-07
chr21:8962852-13306301	1920000	1930000	chm1_cen21v5-chm1_cen21v5	0.226	0.07129235142	chm1	1.7823087855e-06
chr21:8962852-13306301	170000	180000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4766666667	0.003650531889	chm1	9.1263297225e-08
chr21:8962852-13306301	3900000	3910000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.376	0.001435786883	chm1	3.5894672075e-08
chr21:8962852-13306301	2760000	2770000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4036666667	0.0009087771971	chm1	2.27194299275e-08
chr21:8962852-13306301	1840000	1850000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.2253333333	0	chm1	0
chr21:8962852-13306301	1910000	1920000	chm1_cen21v5-chm1_cen21v5	0.226	0.06750971892	chm1	1.687742973e-06
chr21:8962852-13306301	3030000	3040000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4286666667	0.009670030431	chm1	2.41750760775e-07
chr21:8962852-13306301	4230000	4240000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.419	0.0009334229252	chm1	2.333557313e-08
chr21:8962852-13306301	390000	400000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.398	0.0005018306864	chm1	1.254576716e-08
chr21:8962852-13306301	3520000	3530000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.352	0.0013372113	chm1	3.34302825e-08
chr21:8962852-13306301	710000	720000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.308	0	chm1	0
chr21:8962852-13306301	650000	660000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.348	0.0001000077376	chm1	2.50019344e-09
chr21:8962852-13306301	4210000	4220000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.342	0.000600679388	chm1	1.50169847e-08
chr21:8962852-13306301	3000000	3010000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.375	0.0006010756128	chm1	1.502689032e-08
chr21:8962852-13306301	3810000	3820000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.363	0.00103602003	chm1	2.590050075e-08
chr21:8962852-13306301	3200000	3210000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4343333333	0.001201894171	chm1	3.0047354275e-08
chr21:8962852-13306301	1610000	1620000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.387	0.002203803997	chm1	5.5095099925e-08
chr21:8962852-13306301	820000	830000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.353	0.002312542556	chm1	5.78135639e-08
chr21:8962852-13306301	2600000	2610000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.368	0.0001667187422	chm1	4.167968555e-09
chr21:8962852-13306301	1370000	1380000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.362	0.005388818106	chm1	1.3472045265e-07
chr21:8962852-13306301	2710000	2720000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.351	0.0003343446532	chm1	8.35861633e-09
chr21:8962852-13306301	360000	370000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.392	0.002316340663	chm1	5.7908516575e-08
chr21:8962852-13306301	2950000	2960000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.353	0.0006676136265	chm1	1.66903406625e-08
chr21:8962852-13306301	970000	980000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.372	0.004726279573	chm1	1.18156989325e-07
chr21:8962852-13306301	3310000	3320000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4296666667	0.002524323836	chm1	6.31080959e-08
chr21:8962852-13306301	2900000	2910000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.426	0.0003671294643	chm1	9.1782366075e-09
chr21:8962852-13306301	270000	280000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4123333333	0.002208832834	chm1	5.522082085e-08
chr21:8962852-13306301	1550000	1560000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.384	0.002806655229	chm1	7.0166380725e-08
chr21:8962852-13306301	1740000	1750000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.416	0.009800843455	chm1	2.45021086375e-07
chr21:8962852-13306301	120000	130000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3223333333	0.0008013343086	chm1	2.0033357715e-08
chr21:8962852-13306301	1820000	1830000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.449	0.0001000163819	chm1	2.5004095475e-09
chr21:8962852-13306301	2770000	2780000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.336	0.0005354901824	chm1	1.338725456e-08
chr21:8962852-13306301	3730000	3740000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.362	0.0007020601835	chm1	1.75515045875e-08
chr21:8962852-13306301	4000000	4010000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.367	0.0003001568588	chm1	7.50392147e-09
chr21:8962852-13306301	3290000	3300000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.379	0.00193724668	chm1	4.8431167e-08
chr21:8962852-13306301	240000	250000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.389	0.002372021341	chm1	5.9300533525e-08
chr21:8962852-13306301	2960000	2970000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3343333333	0.000600623848	chm1	1.50155962e-08
chr21:8962852-13306301	3660000	3670000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.369	0.001936270727	chm1	4.8406768175e-08
chr21:8962852-13306301	1040000	1050000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.361	0.005564344239	chm1	1.39108605975e-07
chr21:8962852-13306301	3540000	3550000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.3443333333	0.003760955365	chm1	9.4023884125e-08
chr21:8962852-13306301	2580000	2590000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.356	0.0002334068465	chm1	5.8351711625e-09
chr21:8962852-13306301	2750000	2760000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.475	0.001203432486	chm1	3.008581215e-08
chr21:8962852-13306301	130000	140000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.4356666667	0.002305251839	chm1	5.7631295975e-08
chr21:8962852-13306301	730000	740000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.321	0	chm1	0
chr21:8962852-13306301	3720000	3730000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.354	3.334104889e-05	chm1	8.3352622225e-10
chr21:8962852-13306301	670000	680000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.342	0.0001333669223	chm1	3.3341730575e-09
chr21:8962852-13306301	350000	360000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.444	0.002775030438	chm1	6.937576095e-08
chr21:8962852-13306301	3650000	3660000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.389	0.002239671802	chm1	5.599179505e-08
chr21:8962852-13306301	3410000	3420000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.411	0.0006673713411	chm1	1.66842835275e-08
chr21:8962852-13306301	1340000	1350000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.414	0.006863639978	chm1	1.7159099945e-07
chr21:8962852-13306301	3450000	3460000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.558	0.001235753989	chm1	3.0893849725e-08
chr21:8962852-13306301	1760000	1770000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.497	0.0006012793676	chm1	1.503198419e-08
chr21:8962852-13306301	3140000	3150000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.456	0.0004335917877	chm1	1.08397946925e-08
chr21:8962852-13306301	1780000	1790000	chm1_cen21v5-chr21,chm1_cen21v5-hg00733_cen21_h1v1,chm1_cen21v5-hg00733_cen21_h2v1	0.486	0.001579641544	chm1	3.94910386e-08
